"","ID","site_url","author","headline","language","country","global_rank","US_rank","top1_country","top2_country","top3_country","bounce_rate","daily_pageviews_per_visitor","daily_time_on_site","percentage_search_visits","num_sites_linking_in","gender","educational_level","browsing_location","stumble_upon","pinterest","linkedin","fb_total","fb_comments","fb_reactions","fb_shares","type","sentiment","gop_nlp","email_nlp","comei_nlp","reveal_nlp","comment_nlp","soro_nlp","acknowledg_nlp","emf_nlp","rig_nlp","jihad_nlp","femin_nlp","hillary_nlp","neomasculin_nlp","natur_nlp","weight_nlp","gmo_nlp","trump_nlp","brief_nlp","roi_nlp","tax_nlp"
"18",18,"100percentfedup.com","EdJenner","#boycottcomedianrobert deniro wanted to punch trump in the faceùsupports anti-trump riotersnow wants americans to support his new movie [video]","english","United States",81378,21025,"United States","Canada","United Kingdom",0.795,1.4,183,0.032,691,"male","some college","home",0,0,83,746,10,34,702,"bias",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"19",19,"100percentfedup.com","EdJenner","hes never sold an original painting until nowand this ones going in the white house","english","United States",81378,21025,"United States","Canada","United Kingdom",0.795,1.4,183,0.032,691,"male","some college","home",0,0,83,746,10,34,702,"bias",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"20",20,"100percentfedup.com","EdJenner","sorry liberalsyou can stop with the petitionshillary did not win the popular vote","english","United States",81378,21025,"United States","Canada","United Kingdom",0.795,1.4,183,0.032,691,"male","some college","home",0,0,83,746,10,34,702,"bias",5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"21",21,"100percentfedup.com","Fed Up","mark cuban: ""in the event donald wins, i have no doubt the market tanks""so here's what really happened [video]  ","english","United States",81378,21025,"United States","Canada","United Kingdom",0.795,1.4,183,0.032,691,"male","some college","home",0,0,83,746,10,34,702,"bias",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",22,"100percentfedup.com","EdJenner","trump supporter whose brutal beating by black mob was caught on video asks: what happened to america?ù [video]","english","United States",81378,21025,"United States","Canada","United Kingdom",0.795,1.4,183,0.032,691,"male","some college","home",0,0,83,746,10,34,702,"bias",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"23",23,"100percentfedup.com","EdJenner","wow! white liberals suggest blacks are too stupid to get idscant figure out how to use internet [video]","english","United States",81378,21025,"United States","Canada","United Kingdom",0.795,1.4,183,0.032,691,"male","some college","home",0,0,83,746,10,34,702,"bias",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",24,"100percentfedup.com","EdJenner","lol! british wife of lib actor who said: there will never be a president donald trumpùwarns americans about president-elect trump [video]","english","United States",81378,21025,"United States","Canada","United Kingdom",0.795,1.4,183,0.032,691,"male","some college","home",0,0,83,746,10,34,702,"bias",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"25",25,"100percentfedup.com","EdJenner","epic! tucker carlson demolishes nyc councilman over sanctuary cities [video]","english","United States",81378,21025,"United States","Canada","United Kingdom",0.795,1.4,183,0.032,691,"male","some college","home",0,0,83,746,10,34,702,"bias",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",26,"100percentfedup.com","EdJenner","funny! snls solution to democrat election denial: safe space for everyoneù [video]","english","United States",81378,21025,"United States","Canada","United Kingdom",0.795,1.4,183,0.032,691,"male","some college","home",0,0,83,746,10,34,702,"bias",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",27,"100percentfedup.com","EdJenner","donald trump calls meeting with pressdresses down real fake news networks: everyone at cnn is a liar and you should be ashamedù","english","United States",81378,21025,"United States","Canada","United Kingdom",0.795,1.4,183,0.032,691,"male","some college","home",0,0,83,746,10,34,702,"bias",-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"28",28,"100percentfedup.com","Fed Up","oops! crybaby hamilton stars who lectured pence haven't voted in years [video]  ","english","United States",81378,21025,"United States","Canada","United Kingdom",0.795,1.4,183,0.032,691,"male","some college","home",0,0,83,746,10,34,702,"bias",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",29,"100percentfedup.com","EdJenner","white trump-bashing lib reprimanded on live cnn interview for using n-wordù [video]","english","United States",81378,21025,"United States","Canada","United Kingdom",0.795,1.4,183,0.032,691,"male","some college","home",0,0,83,746,10,34,702,"bias",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"30",30,"100percentfedup.com","Barracuda Brigade","boom! kellyanne conway shuts down cnns cuomo","english","United States",81378,21025,"United States","Canada","United Kingdom",0.795,1.4,183,0.032,691,"male","some college","home",0,0,83,746,10,34,702,"bias",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",31,"100percentfedup.com","Barracuda Brigade","sharia in america? how minneapolis muslims are still being recruited by terrorists","english","United States",81378,21025,"United States","Canada","United Kingdom",0.795,1.4,183,0.032,691,"male","some college","home",0,0,83,746,10,34,702,"bias",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",32,"100percentfedup.com","EdJenner","sheriff clarke on obamas final days: obamas like a tenant whos been evicted from a property, and hes gonna trash the place on the way out the doorù [video]","english","United States",81378,21025,"United States","Canada","United Kingdom",0.795,1.4,183,0.032,691,"male","some college","home",0,0,83,746,10,34,702,"bias",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",33,"100percentfedup.com","EdJenner","anti-trump crowd chants: whats better than 11 dead cops, 12 dead cops!ùthree police officers ambushed the same weekend [video]","english","United States",81378,21025,"United States","Canada","United Kingdom",0.795,1.4,183,0.032,691,"male","some college","home",0,0,83,746,10,34,702,"bias",-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"34",34,"activistpost.com","Brandon Turbeville","a tale of two cities: mosul and aleppo","english","United States",50869,18883,"United States","United Kingdom","Canada",0.732,1.52,163,0.175,5807,"male","some college","home",76,0,136,105,33,17,55,"conspiracy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",35,"activistpost.com","Activist Post","new alaska law taking first step against common core","english","United States",50869,18883,"United States","United Kingdom","Canada",0.732,1.52,163,0.175,5807,"male","some college","home",76,0,136,105,33,17,55,"conspiracy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",36,"activistpost.com","Activist Post","military veteran bonus scandal might be much worse than initially reported","english","United States",50869,18883,"United States","United Kingdom","Canada",0.732,1.52,163,0.175,5807,"male","some college","home",76,0,136,105,33,17,55,"conspiracy",-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",37,"activistpost.com","Activist Post","nato, us, and uk assemble largest troop buildup on russian border since cold war","english","United States",50869,18883,"United States","United Kingdom","Canada",0.732,1.52,163,0.175,5807,"male","some college","home",76,0,136,105,33,17,55,"conspiracy",-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",38,"activistpost.com","Activist Post","destruction of us abrams tank: mosul offensive good for general dynamics","english","United States",50869,18883,"United States","United Kingdom","Canada",0.732,1.52,163,0.175,5807,"male","some college","home",76,0,136,105,33,17,55,"conspiracy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",39,"activistpost.com","Activist Post","a conundrum of the current political season","english","United States",50869,18883,"United States","United Kingdom","Canada",0.732,1.52,163,0.175,5807,"male","some college","home",76,0,136,105,33,17,55,"conspiracy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",40,"activistpost.com","Activist Post","liberty or state control? you decide","english","United States",50869,18883,"United States","United Kingdom","Canada",0.732,1.52,163,0.175,5807,"male","some college","home",76,0,136,105,33,17,55,"conspiracy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41",41,"activistpost.com","Activist Post","snowden: journalists are a threatened classù in era of mass surveillance","english","United States",50869,18883,"United States","United Kingdom","Canada",0.732,1.52,163,0.175,5807,"male","some college","home",76,0,136,105,33,17,55,"conspiracy",-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42",42,"activistpost.com","ActivistPost","we now have proof obamacare was designed to fail and heres why","english","United States",50869,18883,"United States","United Kingdom","Canada",0.732,1.52,163,0.175,5807,"male","some college","home",76,0,136,105,33,17,55,"conspiracy",-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43",43,"activistpost.com","Activist Post","no-fly zone declared as militarized police prep for assault on front-line campù at standing rock","english","United States",50869,18883,"United States","United Kingdom","Canada",0.732,1.52,163,0.175,5807,"male","some college","home",76,0,136,105,33,17,55,"conspiracy",-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",44,"activistpost.com","ActivistPost","anonymity: the greatest weapon against oppression","english","United States",50869,18883,"United States","United Kingdom","Canada",0.732,1.52,163,0.175,5807,"male","some college","home",76,0,136,105,33,17,55,"conspiracy",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45",45,"activistpost.com","Brandon Turbeville","u.s. takes a stab at a no fly zone in two places ì syria and standing rock","english","United States",50869,18883,"United States","United Kingdom","Canada",0.732,1.52,163,0.175,5807,"male","some college","home",76,0,136,105,33,17,55,"conspiracy",-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46",46,"activistpost.com","Activist Post","5 things you need to know about the dakota access pipeline protests","english","United States",50869,18883,"United States","United Kingdom","Canada",0.732,1.52,163,0.175,5807,"male","some college","home",76,0,136,105,33,17,55,"conspiracy",-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47",47,"activistpost.com","Activist Post","americans preparing for strong possibility of violence on election day","english","United States",50869,18883,"United States","United Kingdom","Canada",0.732,1.52,163,0.175,5807,"male","some college","home",76,0,136,105,33,17,55,"conspiracy",-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48",48,"activistpost.com","Activist Post","irony redefined: human rights championù suu kyi jails dissidents","english","United States",50869,18883,"United States","United Kingdom","Canada",0.732,1.52,163,0.175,5807,"male","some college","home",76,0,136,105,33,17,55,"conspiracy",-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"49",49,"activistpost.com","ActivistPost","we live in a time where each individual has immense power","english","United States",50869,18883,"United States","United Kingdom","Canada",0.732,1.52,163,0.175,5807,"male","some college","home",76,0,136,105,33,17,55,"conspiracy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50",50,"activistpost.com","Activist Post","technocracy: the real reason why the un wants control over the internet","english","United States",50869,18883,"United States","United Kingdom","Canada",0.732,1.52,163,0.175,5807,"male","some college","home",76,0,136,105,33,17,55,"conspiracy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51",51,"activistpost.com","Activist Post","financial whistleblower explains whats about to happen to the economy","english","United States",50869,18883,"United States","United Kingdom","Canada",0.732,1.52,163,0.175,5807,"male","some college","home",76,0,136,105,33,17,55,"conspiracy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",52,"activistpost.com","Activist Post","distracted by election 2016, no one resisted the deep states patriot act 2","english","United States",50869,18883,"United States","United Kingdom","Canada",0.732,1.52,163,0.175,5807,"male","some college","home",76,0,136,105,33,17,55,"conspiracy",-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53",53,"activistpost.com","Activist Post","how hud makes lousy programs look great","english","United States",50869,18883,"United States","United Kingdom","Canada",0.732,1.52,163,0.175,5807,"male","some college","home",76,0,136,105,33,17,55,"conspiracy",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54",54,"activistpost.com","Activist Post","on the fault lines of change: globalization-v-localization","english","United States",50869,18883,"United States","United Kingdom","Canada",0.732,1.52,163,0.175,5807,"male","some college","home",76,0,136,105,33,17,55,"conspiracy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55",55,"activistpost.com","ActivistPost","blaming russia for everything wrong in the us is getting dangerous","english","United States",50869,18883,"United States","United Kingdom","Canada",0.732,1.52,163,0.175,5807,"male","some college","home",76,0,136,105,33,17,55,"conspiracy",-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56",56,"activistpost.com","Activist Post","fbi reopens hillary email probe: why did it take so long?","english","United States",50869,18883,"United States","United Kingdom","Canada",0.732,1.52,163,0.175,5807,"male","some college","home",76,0,136,105,33,17,55,"conspiracy",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"57",57,"activistpost.com","ActivistPost","restaurant chain tim hortons blocks independent journalists website on wifi","english","United States",50869,18883,"United States","United Kingdom","Canada",0.732,1.52,163,0.175,5807,"male","some college","home",76,0,136,105,33,17,55,"conspiracy",-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58",58,"activistpost.com","Activist Post","russia kicked off un human rights council, while terrorist saudi arabia re-elected","english","United States",50869,18883,"United States","United Kingdom","Canada",0.732,1.52,163,0.175,5807,"male","some college","home",76,0,136,105,33,17,55,"conspiracy",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"59",59,"activistpost.com","Activist Post","like a concentration campù police mark dapl protesters with numbers and lock them in dog kennels","english","United States",50869,18883,"United States","United Kingdom","Canada",0.732,1.52,163,0.175,5807,"male","some college","home",76,0,136,105,33,17,55,"conspiracy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60",60,"activistpost.com","Activist Post","mark ruffalo delivers mobile solar trailers to standing rock camps in preparation for harsh winter","english","United States",50869,18883,"United States","United Kingdom","Canada",0.732,1.52,163,0.175,5807,"male","some college","home",76,0,136,105,33,17,55,"conspiracy",-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61",61,"activistpost.com","Activist Post","cancer, cancer everywhere  but not in the presidential suite","english","United States",50869,18883,"United States","United Kingdom","Canada",0.732,1.52,163,0.175,5807,"male","some college","home",76,0,136,105,33,17,55,"conspiracy",-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62",62,"activistpost.com","Activist Post","the globalization of media: a failing strike force","english","United States",50869,18883,"United States","United Kingdom","Canada",0.732,1.52,163,0.175,5807,"male","some college","home",76,0,136,105,33,17,55,"conspiracy",-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63",63,"activistpost.com","Activist Post","heres why everyone on facebook is checking into standing rock, north dakota","english","United States",50869,18883,"United States","United Kingdom","Canada",0.732,1.52,163,0.175,5807,"male","some college","home",76,0,136,105,33,17,55,"conspiracy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64",64,"activistpost.com","Activist Post","chinas airport security robot can deliver electroshocks","english","United States",50869,18883,"United States","United Kingdom","Canada",0.732,1.52,163,0.175,5807,"male","some college","home",76,0,136,105,33,17,55,"conspiracy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65",65,"activistpost.com","Activist Post","russia, japan may finally sign peace treaty to officially end wwii conflict","english","United States",50869,18883,"United States","United Kingdom","Canada",0.732,1.52,163,0.175,5807,"male","some college","home",76,0,136,105,33,17,55,"conspiracy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66",66,"activistpost.com","Activist Post","biggest election fraud in history discovered in the united states","english","United States",50869,18883,"United States","United Kingdom","Canada",0.732,1.52,163,0.175,5807,"male","some college","home",76,0,136,105,33,17,55,"conspiracy",-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67",67,"activistpost.com","Activist Post","dapl protesters proven right as largest gas pipeline in u.s. experiences massive and deadly explosion","english","United States",50869,18883,"United States","United Kingdom","Canada",0.732,1.52,163,0.175,5807,"male","some college","home",76,0,136,105,33,17,55,"conspiracy",-2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"68",68,"activistpost.com","Activist Post","not just hillary, entire obama administration exposed for using private email to avoid foia requests","english","United States",50869,18883,"United States","United Kingdom","Canada",0.732,1.52,163,0.175,5807,"male","some college","home",76,0,136,105,33,17,55,"conspiracy",-2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"69",69,"activistpost.com","Activist Post","former ambassador andrew young calls for end to water fluoridation, civil rights issueù","english","United States",50869,18883,"United States","United Kingdom","Canada",0.732,1.52,163,0.175,5807,"male","some college","home",76,0,136,105,33,17,55,"conspiracy",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"70",70,"activistpost.com","Activist Post","johnson & johnson loses yet another multimillion dollar case over baby powder","english","United States",50869,18883,"United States","United Kingdom","Canada",0.732,1.52,163,0.175,5807,"male","some college","home",76,0,136,105,33,17,55,"conspiracy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71",71,"activistpost.com","Activist Post","latest assault on aleppo: west covers up terror-ties","english","United States",50869,18883,"United States","United Kingdom","Canada",0.732,1.52,163,0.175,5807,"male","some college","home",76,0,136,105,33,17,55,"conspiracy",-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72",72,"activistpost.com","ActivistPost","obamacare forces companies to drop workers from private insurance","english","United States",50869,18883,"United States","United Kingdom","Canada",0.732,1.52,163,0.175,5807,"male","some college","home",76,0,136,105,33,17,55,"conspiracy",-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73",73,"activistpost.com","Activist Post","feds ramp up real id bullying tactics","english","United States",50869,18883,"United States","United Kingdom","Canada",0.732,1.52,163,0.175,5807,"male","some college","home",76,0,136,105,33,17,55,"conspiracy",-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74",74,"activistpost.com","Activist Post","at&t helping feds spy on everyone","english","United States",50869,18883,"United States","United Kingdom","Canada",0.732,1.52,163,0.175,5807,"male","some college","home",76,0,136,105,33,17,55,"conspiracy",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75",75,"activistpost.com","Activist Post","critics decry surveillance of canadian journalist as part of horrifyingù culture shift","english","United States",50869,18883,"United States","United Kingdom","Canada",0.732,1.52,163,0.175,5807,"male","some college","home",76,0,136,105,33,17,55,"conspiracy",-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76",76,"activistpost.com","Activist Post","turkeys crackdown on criticism continues as journalists, 10k civil servants arrested","english","United States",50869,18883,"United States","United Kingdom","Canada",0.732,1.52,163,0.175,5807,"male","some college","home",76,0,136,105,33,17,55,"conspiracy",-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77",77,"activistpost.com","Activist Post","anti-isis coalition too busy defeating themselves to defeat isis","english","United States",50869,18883,"United States","United Kingdom","Canada",0.732,1.52,163,0.175,5807,"male","some college","home",76,0,136,105,33,17,55,"conspiracy",-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78",78,"activistpost.com","Activist Post","someone just donated $2.5 million to bail out everyone arrested at standing rock","english","United States",50869,18883,"United States","United Kingdom","Canada",0.732,1.52,163,0.175,5807,"male","some college","home",76,0,136,105,33,17,55,"conspiracy",-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79",79,"activistpost.com","ActivistPost","if russia can rig the us presidential election, so can an insider","english","United States",50869,18883,"United States","United Kingdom","Canada",0.732,1.52,163,0.175,5807,"male","some college","home",76,0,136,105,33,17,55,"conspiracy",-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"80",80,"activistpost.com","Activist Post","violent escalation at the #dapl protests w/derrick broze","english","United States",50869,18883,"United States","United Kingdom","Canada",0.732,1.52,163,0.175,5807,"male","some college","home",76,0,136,105,33,17,55,"conspiracy",-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81",81,"activistpost.com","Activist Post","water protectors face off with police #nodapl","english","United States",50869,18883,"United States","United Kingdom","Canada",0.732,1.52,163,0.175,5807,"male","some college","home",76,0,136,105,33,17,55,"conspiracy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82",82,"activistpost.com","Activist Post","see real voting system rigged for election theft ì bev harris","english","United States",50869,18883,"United States","United Kingdom","Canada",0.732,1.52,163,0.175,5807,"male","some college","home",76,0,136,105,33,17,55,"conspiracy",-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"83",83,"activistpost.com","Activist Post","smart meter case testimony before the pennsylvania public utility commission: what no one wants to acknowledge about emf damage","english","United States",50869,18883,"United States","United Kingdom","Canada",0.732,1.52,163,0.175,5807,"male","some college","home",76,0,136,105,33,17,55,"conspiracy",-3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
